X,Y,S
0.0,0.08771929824561431,0.11403508771929838
4.0,0.2105263157894739,0.12280701754385981
8.0,-0.5438596491228074,0.10526315789473673
12.0,-1.6842105263157894,0.18421052631578982
16.0,-1.9298245614035086,0.47368421052631593
20.0,-1.3859649122807012,0.6228070175438596
24.0,0.28070175438596534,0.17543859649122817
28.0,0.5438596491228074,0.1929824561403508
32.0,0.26315789473684204,0.14035087719298267
36.0,-0.8771929824561404,0.11403508771929838
40.0,-1.5087719298245617,0.1491228070175441
44.0,-1.4035087719298245,0.1578947368421053
48.0,-0.5087719298245608,0.1578947368421053
